"domain","type","1 year","2 years","3 years","4 years","5 years","6 years","7 years","8 years","9 years","10 years"
".car","domainrenew","2399.0","4798.0","7197.0","9596.0","11995.0","14394.0","16793.0","19192.0","21591.0","23990.0"
".cards","domainregister","23.59","47.18","70.77","94.36","117.95","141.54","165.13","188.72","212.31","235.9"
".cards","domainrenew","23.59","47.18","70.77","94.36","117.95","141.54","165.13","188.72","212.31","235.9"
".cards","domaintransfer","23.59","47.18","70.77","94.36","117.95","141.54","165.13","188.72","212.31","235.9"
".care","domainregister","19.99","43.58","70.77","94.36","117.95","141.54","165.13","188.72","212.31","235.9"
".care","domainrenew","23.59","47.18","70.77","94.36","117.95","141.54","165.13","188.72","212.31","235.9"
".care","domaintransfer","23.59","47.18","70.77","94.36","117.95","141.54","165.13","188.72","212.31","235.9"
".careers","domainregister","29.99","68.58","107.17","154.36","192.95","231.54","270.13","308.72","347.31","385.9"
".careers","domainrenew","38.59","77.18","115.77","154.36","192.95","231.54","270.13","308.72","347.31","385.9"
".careers","domaintransfer","38.59","77.18","115.77","154.36","192.95","231.54","270.13","308.72","347.31","385.9"
".cars","domaintransfer","2399.0"
".cars","domainregister","2399.0","4798.0","7197.0","9596.0","11995.0","14394.0","16793.0","19192.0","21591.0","23990.0"
".cars","domainrenew","2399.0","4798.0","7197.0","9596.0","11995.0","14394.0","16793.0","19192.0","21591.0","23990.0"
".casa","domaintransfer","6.49"
".casa","domainregister","8.99","17.98","26.97","35.96","44.95","53.94","62.93","71.92","80.91","89.9"
".casa","domainrenew","8.99","17.98","26.97","35.96","44.95","53.94","62.93","71.92","80.91","89.9"
".cash","domainregister","14.99","31.58","78.76","148.53","117.95","141.54","165.13","188.72","212.31","235.9"
".cash","domainrenew","23.59","47.18","70.77","94.36","117.95","141.54","165.13","188.72","212.31","235.9"
".cash","domaintransfer","23.59","47.18","70.77","94.36","117.95","141.54","165.13","188.72","212.31","235.9"
".casino","domainregister","19.99","158.98","356.97","475.96","594.95","713.94","832.93","951.92","1070.91","1189.9"
".casino","domainrenew","118.99","237.98","356.97","475.96","594.95","713.94","832.93","951.92","1070.91","1189.9"
".casino","domaintransfer","118.99","237.98","356.97","475.96","594.95","713.94","832.93","951.92","1070.91","1189.9"
".cat","domainregister","19.99","39.98","59.97","79.96","99.95","119.94","139.93","159.92","179.91","199.9"
".cat","domainrenew","25.99","51.98","77.97","103.96","129.95","155.94","181.93","207.92","233.91","259.9"
".cat","domaintransfer","25.99","39.98","59.97","79.96","99.95","119.94","139.93","159.92","179.91","199.9"
".catering","domainregister","23.59","47.18","70.77","94.36","117.95","141.54","165.13","188.72","212.31","235.9"
".catering","domainrenew","23.59","47.18","70.77","94.36","117.95","141.54","165.13","188.72","212.31","235.9"
".catering","domaintransfer","23.59","47.18","70.77","94.36","117.95","141.54","165.13","188.72","212.31","235.9"
".cc","domaintransfer","26.0"
".cc","domainregister","26.0","52.0","78.0","104.0","130.0","156.0","182.0","208.0","234.0","260.0"
".cc","domainrenew","26.0","52.0","78.0","104.0","130.0","156.0","182.0","208.0","234.0","260.0"
".center","domainregister","11.99","27.58","43.17","58.76","74.35","93.54","109.13","124.72","140.31","155.9"
".center","domainrenew","15.59","31.18","46.77","62.36","77.95","93.54","109.13","124.72","140.31","155.9"
".center","domaintransfer","15.59","31.18","46.77","62.36","77.95","93.54","109.13","124.72","140.31","155.9"
".ceo","domaintransfer","82.0"
".ceo","domainregister","82.0","164.0","246.0","328.0","410.0","492.0","574.0","656.0","738.0","820.0"
".ceo","domainrenew","82.0","164.0","246.0","328.0","410.0","492.0","574.0","656.0","738.0","820.0"
".chat","domainregister","14.99","43.58","59.97","79.96","99.95","119.94","139.93","159.92","179.91","199.9"
".chat","domainrenew","23.89","47.78","71.67","95.56","119.45","143.34","167.23","191.12","215.01","238.9"
".chat","domaintransfer","23.89","47.78","71.67","95.56","119.45","143.34","167.23","191.12","215.01","238.9"
".cheap","domainregister","9.99","47.18","70.77","94.36","117.95","141.54","165.13","188.72","212.31","235.9"
".cheap","domainrenew","23.59","47.18","70.77","94.36","117.95","141.54","165.13","188.72","212.31","235.9"
".cheap","domaintransfer","23.59","47.18","70.77","94.36","117.95","141.54","165.13","188.72","212.31","235.9"
".christmas","domainregister","60.99","121.98","182.97","243.96","304.95","365.94","426.93","487.92","548.91","609.9"
".christmas","domainrenew","60.99","121.98","182.97","243.96","304.95","365.94","426.93","487.92","548.91","609.9"
".christmas","domaintransfer","60.99","51.98","77.97","103.96","129.95","155.94","181.93","207.92","233.91","259.9"
".church","domainregister","23.59","47.18","70.77","94.36","117.95","141.54","165.13","188.72","212.31","235.9"
".church","domainrenew","23.59","47.18","70.77","94.36","117.95","141.54","165.13","188.72","212.31","235.9"
".church","domaintransfer","23.59","47.18","70.77","94.36","117.95","141.54","165.13","188.72","212.31","235.9"
".city","domainregister","7.99","25.58","46.77","62.36","77.95","93.54","109.13","124.72","140.31","155.9"
".city","domainrenew","15.59","31.18","46.77","62.36","77.95","93.54","109.13","124.72","140.31","155.9"
".city","domaintransfer","15.59","31.18","46.77","62.36","77.95","93.54","109.13","124.72","140.31","155.9"
".claims","domainregister","19.99","58.58","78.57","155.56","194.45","233.34","272.23","311.12","350.01","388.9"
".claims","domainrenew","38.89","77.78","116.67","155.56","194.45","233.34","272.23","311.12","350.01","388.9"
".claims","domaintransfer","38.89","77.78","116.67","155.56","194.45","233.34","272.23","311.12","350.01","388.9"
".cleaning","domainregister","41.09","82.18","123.27","164.36","205.45","246.54","287.63","328.72","369.81","410.9"
".cleaning","domainrenew","41.09","82.18","123.27","164.36","205.45","246.54","287.63","328.72","369.81","410.9"
".cleaning","domaintransfer","41.09","47.18","70.77","94.36","117.95","141.54","165.13","188.72","212.31","235.9"
".click","domainregister","8.99","17.98","26.97","35.96","44.95","53.94","62.93","71.92","80.91","89.9"
".click","domainrenew","8.99","17.98","26.97","35.96","44.95","53.94","62.93","71.92","80.91","89.9"
".click","domaintransfer","8.99","11.18","16.77","22.36","27.95","33.54","39.13","44.72","50.31","55.9"
".clinic","domainregister","38.59","77.18","115.77","154.36","192.95","231.54","270.13","308.72","347.31","385.9"
".clinic","domainrenew","38.59","77.18","115.77","154.36","192.95","231.54","270.13","308.72","347.31","385.9"
".clinic","domaintransfer","38.59","77.18","115.77","154.36","192.95","231.54","270.13","308.72","347.31","385.9"
".clothing","domainregister","23.59","47.18","70.77","94.36","117.95","141.54","165.13","188.72","212.31","235.9"
".clothing","domainrenew","23.59","47.18","70.77","94.36","117.95","141.54","165.13","188.72","212.31","235.9"
".clothing","domaintransfer","23.59","47.18","70.77","94.36","117.95","141.54","165.13","188.72","212.31","235.9"
".cloud","domaintransfer","18.89"
".cloud","domainregister","18.89","37.78","56.67","75.56","94.45","113.34","132.23","151.12","170.01","188.9"
".cloud","domainrenew","18.89","37.78","56.67","75.56","94.45","113.34","132.23","151.12","170.01","188.9"
".club","domaintransfer","10.9"
".club","domainregister","10.9","21.8","32.7","43.6","54.5","65.4","76.3","87.2","98.1","109.0"
".club","domainrenew","10.9","21.8","32.7","43.6","54.5","65.4","76.3","87.2","98.1","109.0"
".cn","domaintransfer","13.99"
".cn","domainregister","13.99","27.98","41.97","55.96","69.95","83.94","97.93","111.92","125.91","139.9"
".cn","domainrenew","13.99","27.98","41.97","55.96","69.95","83.94","97.93","111.92","125.91","139.9"
".co","domaintransfer","27.0"
".co","domainregister","27.0","54.0","81.0","108.0","135.0","162.0","189.0","216.0","243.0","270.0"
".co","domainrenew","27.0","54.0","81.0","108.0","135.0","162.0","189.0","216.0","243.0","270.0"
".co.ag","domainregister","69.99","139.98","209.97","279.96","349.95","419.94","489.93","559.92","629.91","699.9"
".co.ag","domainrenew","69.99","139.98","209.97","279.96","349.95","419.94","489.93","559.92","629.91","699.9"
".co.ag","domaintransfer","69.99","139.98","209.97","279.96","349.95","419.94","489.93","559.92","629.91","699.9"
".co.in","domaintransfer","6.49"
".co.in","domainregister","6.49","12.98","19.47","25.96","32.45","38.94","45.43","51.92","58.41","64.9"
".co.in","domainrenew","6.49","12.98","19.47","25.96","32.45","38.94","45.43","51.92","58.41","64.9"
".co.lc","domainregister","19.99","39.98","59.97","79.96","99.95","119.94","139.93","159.92","179.91","199.9"
".co.lc","domainrenew","19.99","39.98","59.97","79.96","99.95","119.94","139.93","159.92","179.91","199.9"
".co.lc","domaintransfer","19.99","39.98","59.97","79.96","99.95","119.94","139.93","159.92","179.91","199.9"
".co.uk","domainregister","8.59","17.18","25.77","34.36","42.95","51.54","60.13","68.72","77.31","85.9"
".co.uk","domainrenew","8.59","17.18","25.77","34.36","42.95","51.54","60.13","68.72","77.31","85.9"
".coach","domainregister","14.99","77.78","116.67","155.56","194.45","233.34","272.23","311.12","350.01","388.9"
".coach","domainrenew","38.89","77.78","116.67","155.56","194.45","233.34","272.23","311.12","350.01","388.9"
".coach","domaintransfer","38.89","77.78","116.67","155.56","194.45","233.34","272.23","311.12","350.01","388.9"
".codes","domainregister","7.99","46.58","85.17","123.76","192.95","231.54","270.13","308.72","347.31","385.9"
".codes","domainrenew","41.09","82.18","123.27","164.36","205.45","246.54","287.63","328.72","369.81","410.9"
".codes","domaintransfer","41.09","77.18","115.77","154.36","192.95","231.54","270.13","308.72","347.31","385.9"
".coffee","domainregister","11.99","35.58","59.17","82.76","117.95","141.54","165.13","188.72","212.31","235.9"
".coffee","domainrenew","23.59","47.18","70.77","94.36","117.95","141.54","165.13","188.72","212.31","235.9"
".coffee","domaintransfer","23.59","47.18","70.77","94.36","117.95","141.54","165.13","188.72","212.31","235.9"
".college","domaintransfer","54.59"
".college","domainregister","54.59","109.18","163.77","218.36","272.95","327.54","382.13","436.72","491.31","545.9"
".college","domainrenew","54.59","109.18","163.77","218.36","272.95","327.54","382.13","436.72","491.31","545.9"
".com","domaintransfer","9.39"
".com","domainregister","9.39","18.78","28.17","37.56","46.95","56.34","65.73","75.12","84.51","93.9"
".com","domainrenew","9.39","18.78","28.17","37.56","46.95","56.34","65.73","75.12","84.51","93.9"
".com.ag","domainregister","69.99","139.98","209.97","279.96","349.95","419.94","489.93","559.92","629.91","699.9"
".com.ag","domainrenew","69.99","139.98","209.97","279.96","349.95","419.94","489.93","559.92","629.91","699.9"
".com.ag","domaintransfer","69.99","139.98","209.97","279.96","349.95","419.94","489.93","559.92","629.91","699.9"
".com.co","domaintransfer","15.0"
".com.co","domainregister","27.0","54.0","81.0","108.0","135.0","162.0","189.0","216.0","243.0","270.0"
".com.co","domainrenew","15.0","30.0","45.0","60.0","75.0","90.0","105.0","120.0","135.0","150.0"
".com.lc","domainregister","19.99","39.98","59.97","79.96","99.95","119.94","139.93","159.92","179.91","199.9"
".com.lc","domainrenew","19.99","39.98","59.97","79.96","99.95","119.94","139.93","159.92","179.91","199.9"
".com.lc","domaintransfer","19.99","39.98","59.97","79.96","99.95","119.94","139.93","159.92","179.91","199.9"
".com.tw","domaintransfer","26.99"
".com.tw","domainregister","26.99","53.98","80.97","107.96","134.95","161.94","188.93","215.92","242.91","269.9"
".com.tw","domainrenew","26.99","53.98","80.97","107.96","134.95","161.94","188.93","215.92","242.91","269.9"
".com.vc","domainregister","37.99","75.98","113.97","151.96","189.95","227.94","265.93","303.92","341.91","379.9"
".com.vc","domainrenew","37.99","75.98","113.97","151.96","189.95","227.94","265.93","303.92","341.91","379.9"
".com.vc","domaintransfer","37.99","75.98","113.97","151.96","189.95","227.94","265.93","303.92","341.91","379.9"
".community","domainregister","23.59","47.18","70.77","94.36","117.95","141.54","165.13","188.72","212.31","235.9"
".community","domainrenew","23.59","47.18","70.77","94.36","117.95","141.54","165.13","188.72","212.31","235.9"
".community","domaintransfer","23.59","47.18","70.77","94.36","117.95","141.54","165.13","188.72","212.31","235.9"
".company","domainregister","9.99","19.98","29.97","39.96","49.95","59.94","69.93","79.92","89.91","99.9"
".company","domainrenew","9.99","19.98","29.97","39.96","49.95","59.94","69.93","79.92","89.91","99.9"
".company","domaintransfer","9.99","31.18","46.77","62.36","77.95","93.54","109.13","124.72","140.31","155.9"
".computer","domainregister","19.99","43.58","70.77","94.36","117.95","141.54","165.13","188.72","212.31","235.9"
".computer","domainrenew","23.59","47.18","70.77","94.36","117.95","141.54","165.13","188.72","212.31","235.9"
".computer","domaintransfer","23.59","47.18","70.77","94.36","117.95","141.54","165.13","188.72","212.31","235.9"
".condos","domainregister","40.59","81.18","121.77","162.36","202.95","243.54","284.13","324.72","365.31","405.9"
".condos","domainrenew","40.59","81.18","121.77","162.36","202.95","243.54","284.13","324.72","365.31","405.9"
".condos","domaintransfer","40.59","77.18","115.77","154.36","192.95","231.54","270.13","308.72","347.31","385.9"
".construction","domainregister","9.99","33.58","57.17","94.36","117.95","141.54","165.13","188.72","212.31","235.9"
".construction","domainrenew","23.59","47.18","70.77","94.36","117.95","141.54","165.13","188.72","212.31","235.9"
".construction","domaintransfer","23.59","47.18","70.77","94.36","117.95","141.54","165.13","188.72","212.31","235.9"
".contractors","domainregister","23.59","47.18","70.77","94.36","117.95","141.54","165.13","188.72","212.31","235.9"
".contractors","domainrenew","23.59","47.18","70.77","94.36","117.95","141.54","165.13","188.72","212.31","235.9"
".contractors","domaintransfer","23.59","47.18","70.77","94.36","117.95","141.54","165.13","188.72","212.31","235.9"
".cooking","domaintransfer","23.99"
".cooking","domainregister","23.99","47.98","71.97","95.96","119.95","143.94","167.93","191.92","215.91","239.9"
".cooking","domainrenew","23.99","47.98","71.97","95.96","119.95","143.94","167.93","191.92","215.91","239.9"
".cool","domainregister","9.99","33.58","16.94","22.96","28.95","34.94","40.93","188.72","212.31","235.9"
".cool","domainrenew","23.59","47.18","70.77","94.36","117.95","141.54","165.13","188.72","212.31","235.9"
".cool","domaintransfer","23.59","47.18","70.77","94.36","117.95","141.54","165.13","188.72","212.31","235.9"
".country","domaintransfer","23.99"
".country","domainregister","23.99","47.98","71.97","95.96","119.95","143.94","167.93","191.92","215.91","239.9"
".country","domainrenew","23.99","47.98","71.97","95.96","119.95","143.94","167.93","191.92","215.91","239.9"
".coupons","domainregister","19.99","77.78","116.67","155.56","194.45","233.34","272.23","311.12","350.01","388.9"
".coupons","domainrenew","38.89","77.78","116.67","155.56","194.45","233.34","272.23","311.12","350.01","388.9"
".coupons","domaintransfer","38.89","77.78","116.67","155.56","194.45","233.34","272.23","311.12","350.01","388.9"
".courses","domaintransfer","32.99"
".courses","domainregister","32.99","65.98","98.97","131.96","164.95","197.94","230.93","263.92","296.91","329.9"
".courses","domainrenew","32.99","65.98","98.97","131.96","164.95","197.94","230.93","263.92","296.91","329.9"
".cpa.pro","domaintransfer","189.0"
".cpa.pro","domainregister","189.0","378.0","567.0","756.0","945.0","1134.0","1323.0","1512.0","1701.0","1890.0"
".cpa.pro","domainrenew","189.0","378.0","567.0","756.0","945.0","1134.0","1323.0","1512.0","1701.0","1890.0"
".credit","domainregister","11.99","157.78","236.67","315.56","394.45","473.34","552.23","631.12","710.01","788.9"
".credit","domainrenew","78.89","157.78","236.67","315.56","394.45","473.34","552.23","631.12","710.01","788.9"
".credit","domaintransfer","78.89","157.78","236.67","315.56","394.45","473.34","552.23","631.12","710.01","788.9"
".creditcard","domainregister","118.99","237.98","356.97","475.96","594.95","713.94","832.93","951.92","1070.91","1189.9"
".creditcard","domainrenew","118.99","237.98","356.97","475.96","594.95","713.94","832.93","951.92","1070.91","1189.9"
".creditcard","domaintransfer","118.99","237.98","356.97","475.96","594.95","713.94","832.93","951.92","1070.91","1189.9"
".cricket","domaintransfer","12.99"
".cricket","domainregister","12.99","25.98","38.97","51.96","64.95","77.94","90.93","103.92","116.91","129.9"
".cricket","domainrenew","12.99","25.98","38.97","51.96","64.95","77.94","90.93","103.92","116.91","129.9"
".cruises","domainregister","40.59","81.18","121.77","162.36","202.95","243.54","284.13","324.72","365.31","405.9"
".cruises","domainrenew","40.59","81.18","121.77","162.36","202.95","243.54","284.13","324.72","365.31","405.9"
